shipment_id,origin,destination,weight_kg,cost_usd,ship_date,carrier,status,supplier_id
SHP-00061,Shenzhen,Taipei,3981.24,28318.33,2024-01-22,Global Freight,delivered,43
SHP-00062,Bangkok,Singapore,2530.05,17094.5,2024-08-03,Orient Lines,delivered,24
SHP-00063,Manila,New York,3536.69,21802.58,2024-09-24,Global Freight,in_transit,35
SHP-00064,Shenzhen,Los Angeles,2324.64,41295.44,2024-10-30,Global Freight,delivered,16
SHP-00065,Osaka,Bangkok,1395.0,22567.56,2024-08-25,Orient Lines,delivered,32
SHP-00066,Osaka,Genoa,909.61,10645.39,2024-05-12,Global Freight,delivered,39
SHP-00067,Hanoi,Antwerp,2779.18,25855.53,2024-04-07,Pacific Express,delivered,27
SHP-00068,Taipei,Buenos Aires,3790.94,34545.94,2024-11-26,Orient Lines,delivered,2
SHP-00069,Tokyo,Barcelona,1108.37,34604.77,2024-06-05,Global Freight,delivered,34
SHP-00070,Bangkok,Le Havre,4983.16,27541.9,2024-06-29,Orient Lines,delivered,17
SHP-00071,Mumbai,Jakarta,3606.56,15811.62,2024-10-01,Asia Cargo,delivered,48
SHP-00072,Taipei,Antwerp,3623.06,48831.52,2024-09-25,Global Freight,customs_hold,13
SHP-00073,Singapore,London,1804.72,15148.27,2024-12-28,Asia Cargo,delivered,4
SHP-00074,Jakarta,Barcelona,3487.24,6357.66,2024-09-08,Pacific Express,delayed,37
SHP-00075,Singapore,Los Angeles,2393.83,17068.26,2024-01-27,Global Freight,customs_hold,31
SHP-00076,Tokyo,Bangkok,2003.84,3750.4,2024-11-18,Pacific Express,delivered,37
SHP-00077,Singapore,Hong Kong,4969.59,5966.66,2024-08-01,Asia Cargo,in_transit,25
SHP-00078,Taipei,Valencia,1487.12,29446.83,2024-08-07,Global Freight,in_transit,4
SHP-00079,Kuala Lumpur,Hong Kong,4737.98,10429.01,2024-04-18,Global Freight,in_transit,11
SHP-00080,Mumbai,Shenzhen,2760.19,7868.8,2024-07-28,Orient Lines,in_transit,31
SHP-00081,Singapore,Seoul,1157.77,35362.44,2024-12-25,Orient Lines,delivered,15
SHP-00082,Busan,Hamburg,3939.25,31271.65,2024-12-04,Asia Cargo,delivered,35
SHP-00083,Mumbai,Manzanillo,745.37,13318.34,2024-03-13,Pacific Express,delivered,20
SHP-00084,Kuala Lumpur,Cartagena,4606.0,21985.71,2024-08-27,Global Freight,in_transit,18
SHP-00085,Jakarta,Santos,2469.23,4068.07,2024-01-21,Orient Lines,in_transit,39
SHP-00086,Singapore,Tokyo,457.09,48097.46,2024-10-21,Pacific Express,customs_hold,44
SHP-00087,Osaka,Antwerp,2881.45,38167.29,2024-03-30,Orient Lines,delivered,29
SHP-00088,Busan,Antwerp,907.85,29287.21,2024-11-21,Orient Lines,customs_hold,31
SHP-00089,Bangkok,Dublin,1666.88,33523.17,2024-03-23,Global Freight,delivered,32
SHP-00090,Singapore,Kingston,4726.0,40687.62,2024-10-08,Pacific Express,delivered,21
SHP-00091,Singapore,Genoa,580.05,38638.77,2024-09-20,Pacific Express,in_transit,35
SHP-00092,Taipei,Dublin,271.49,25946.05,2024-11-14,Orient Lines,in_transit,49
SHP-00093,Shanghai,Busan,1335.65,6594.11,2024-05-27,Orient Lines,delayed,32
SHP-00094,Tokyo,Seoul,4865.75,30463.14,2024-05-02,Asia Cargo,delivered,1
SHP-00095,Jakarta,Dublin,466.5,49613.24,2024-02-28,Orient Lines,customs_hold,42
SHP-00096,Osaka,Kuala Lumpur,2492.13,35844.34,2024-09-17,Global Freight,delivered,31
SHP-00097,Taipei,Rotterdam,2284.2,7274.87,2024-04-07,Asia Cargo,delayed,18
SHP-00098,Shenzhen,Dublin,1699.71,39396.48,2024-05-16,Pacific Express,delivered,20
SHP-00099,Osaka,Savannah,2899.83,33014.04,2024-03-17,Orient Lines,delivered,23
SHP-00100,Bangkok,Buenos Aires,3814.48,18891.64,2024-06-13,Asia Cargo,customs_hold,16
SHP-00101,Kuala Lumpur,Gothenburg,1168.2,38788.45,2024-01-23,Global Freight,in_transit,46
SHP-00102,Busan,Gothenburg,1930.7,33201.26,2024-11-29,Asia Cargo,delivered,3
SHP-00103,Seoul,Miami,4826.79,16633.14,2024-02-21,Orient Lines,delivered,30
SHP-00104,Shanghai,Manila,2050.19,32756.33,2024-03-20,Pacific Express,delivered,17
SHP-00105,Bangkok,Montreal,3463.68,32509.34,2024-06-17,Orient Lines,customs_hold,41
SHP-00106,Hanoi,Houston,4361.98,1843.16,2024-02-05,Asia Cargo,in_transit,19
SHP-00107,Mumbai,Hong Kong,2170.14,4967.23,2024-11-20,Pacific Express,delivered,45
SHP-00108,Singapore,Tokyo,230.43,39817.37,2024-05-30,Global Freight,delivered,10
SHP-00109,Mumbai,Vancouver,2060.55,34105.93,2024-04-02,Asia Cargo,delivered,40
SHP-00110,Osaka,Gothenburg,3098.74,12079.45,2024-10-25,Asia Cargo,delivered,41
SHP-00111,Singapore,New York,1277.01,519.4,2024-08-26,Global Freight,in_transit,11
SHP-00112,Tokyo,Valencia,4726.21,49383.2,2024-06-02,Orient Lines,in_transit,30
SHP-00113,Osaka,Marseille,996.49,19265.43,2024-09-04,Pacific Express,delivered,37
SHP-00114,Bangkok,Cartagena,1479.71,34978.99,2024-01-12,Orient Lines,delivered,37
SHP-00115,Osaka,Balboa,3891.67,48681.46,2024-11-06,Orient Lines,delayed,19
SHP-00116,Shenzhen,London,3035.52,17648.43,2024-11-21,Asia Cargo,in_transit,44
SHP-00117,Shenzhen,Kingston,3404.44,6882.12,2024-02-19,Pacific Express,delivered,29
SHP-00118,Shanghai,Savannah,1824.62,6614.02,2024-05-31,Global Freight,in_transit,12
SHP-00119,Mumbai,Kuala Lumpur,3932.67,43829.21,2024-07-06,Global Freight,delayed,17
SHP-00120,Busan,Los Angeles,4836.94,14792.32,2024-06-22,Pacific Express,delivered,5
SHP-00121,Seoul,London,4300.77,36224.62,2024-07-22,Global Freight,delivered,26
SHP-00122,Shanghai,Hamburg,2683.09,22766.56,2024-12-10,Global Freight,in_transit,41
SHP-00123,Bangkok,Taipei,3374.35,23600.27,2024-11-13,Global Freight,delayed,15
SHP-00124,Manila,Singapore,3177.2,23240.16,2024-12-24,Global Freight,in_transit,8
SHP-00125,Seoul,Mumbai,4731.33,15253.01,2024-09-09,Pacific Express,delivered,35
SHP-00126,Seoul,Gothenburg,2268.49,33540.79,2024-12-22,Orient Lines,in_transit,47
SHP-00127,Seoul,Dublin,3274.78,41692.97,2024-11-11,Orient Lines,customs_hold,18
SHP-00128,Shanghai,Gdansk,1086.74,22262.56,2024-04-30,Global Freight,delivered,44
SHP-00129,Bangkok,Santos,4508.53,32259.1,2024-02-01,Orient Lines,delivered,8
SHP-00130,Osaka,New York,458.82,10644.69,2024-11-23,Pacific Express,delivered,22
SHP-00131,Mumbai,Kuala Lumpur,3935.0,10300.02,2024-10-10,Asia Cargo,in_transit,15
SHP-00132,Bangkok,Manila,3943.32,29819.28,2024-05-21,Asia Cargo,customs_hold,35
SHP-00133,Singapore,Shenzhen,550.08,43329.07,2024-03-08,Pacific Express,delivered,16
SHP-00134,Kuala Lumpur,Genoa,79.4,13305.11,2024-03-05,Orient Lines,delivered,48
SHP-00135,Tokyo,Los Angeles,2241.65,18133.85,2024-10-30,Pacific Express,delivered,15
SHP-00136,Kuala Lumpur,Seoul,3636.35,45442.15,2024-12-03,Global Freight,delivered,2
SHP-00137,Shanghai,Los Angeles,4236.57,21342.37,2024-02-25,Orient Lines,in_transit,29
SHP-00138,Tokyo,Hong Kong,1610.9,7459.27,2024-03-05,Global Freight,in_transit,38
SHP-00139,Jakarta,Genoa,1904.83,29889.72,2024-05-30,Orient Lines,delivered,28
SHP-00140,Tokyo,Jakarta,4264.04,32563.29,2024-10-09,Asia Cargo,delivered,15
SHP-00141,Hong Kong,Piraeus,4137.18,19966.57,2024-02-18,Global Freight,delivered,43
SHP-00142,Singapore,Gdansk,4767.99,34356.71,2024-08-30,Pacific Express,delivered,6
SHP-00143,Tokyo,Le Havre,483.27,36952.86,2024-03-07,Pacific Express,in_transit,36
SHP-00144,Jakarta,Piraeus,3350.23,20569.89,2024-12-06,Orient Lines,delayed,47
SHP-00145,Shanghai,Barcelona,3002.25,17614.73,2024-10-22,Asia Cargo,delivered,31
SHP-00146,Mumbai,Taipei,1750.89,27835.46,2024-02-28,Global Freight,in_transit,28
SHP-00147,Osaka,Buenos Aires,4872.75,40930.42,2024-11-10,Pacific Express,in_transit,43
SHP-00148,Osaka,Antwerp,145.25,13699.86,2024-06-07,Global Freight,delivered,12
SHP-00149,Osaka,Kuala Lumpur,2831.82,20069.18,2024-03-13,Pacific Express,delivered,34
SHP-00150,Mumbai,Gothenburg,2099.45,17077.75,2024-07-08,Global Freight,in_transit,50
SHP-00151,Kuala Lumpur,Seattle,425.24,2677.81,2024-03-21,Pacific Express,in_transit,18
SHP-00152,Taipei,Kingston,2120.36,30373.45,2024-07-31,Global Freight,delivered,33
SHP-00153,Tokyo,Istanbul,2149.85,14198.16,2024-12-13,Orient Lines,delivered,20
SHP-00154,Shanghai,London,1976.62,29986.28,2024-01-04,Asia Cargo,delivered,14
SHP-00155,Shenzhen,Jakarta,3820.92,14507.88,2024-03-02,Pacific Express,delivered,28
SHP-00156,Seoul,Kuala Lumpur,1901.35,35198.38,2024-09-13,Global Freight,delivered,48
SHP-00157,Shanghai,Le Havre,94.2,46062.06,2024-06-09,Orient Lines,in_transit,46
SHP-00158,Manila,Dublin,1447.93,20281.36,2024-06-15,Asia Cargo,delayed,40
SHP-00159,Taipei,Gdansk,441.11,42231.99,2024-05-04,Orient Lines,in_transit,34
SHP-00160,Tokyo,Lisbon,4352.69,37302.95,2024-04-23,Global Freight,in_transit,5
SHP-00161,Jakarta,Callao,570.58,25522.11,2024-06-27,Global Freight,in_transit,42
SHP-00162,Osaka,Kuala Lumpur,1181.73,7364.89,2024-04-11,Asia Cargo,in_transit,49
SHP-00163,Shenzhen,Manzanillo,377.23,47567.04,2024-11-17,Orient Lines,delivered,37
SHP-00164,Shenzhen,Savannah,2244.8,46211.51,2024-10-16,Global Freight,delayed,41
SHP-00165,Bangkok,Manila,2199.09,23472.61,2024-11-19,Global Freight,in_transit,38
SHP-00166,Shanghai,Istanbul,2536.93,15554.87,2024-08-19,Pacific Express,delivered,19
SHP-00167,Tokyo,Manzanillo,4321.32,42771.9,2024-11-10,Orient Lines,delivered,36
SHP-00168,Shenzhen,Seoul,2248.94,40500.31,2024-11-29,Asia Cargo,delivered,31
SHP-00169,Jakarta,Manila,4788.63,22553.63,2024-06-24,Pacific Express,delivered,12
SHP-00170,Shanghai,Rotterdam,3538.25,49549.75,2024-09-25,Asia Cargo,delivered,19
SHP-00171,Hong Kong,Dublin,3872.44,33960.94,2024-01-27,Global Freight,delivered,7
SHP-00172,Jakarta,Balboa,1933.13,12637.19,2024-12-02,Asia Cargo,delivered,38
SHP-00173,Manila,Kuala Lumpur,4583.77,15546.08,2024-12-01,Orient Lines,delivered,46
SHP-00174,Tokyo,Marseille,2794.83,32192.49,2024-06-17,Asia Cargo,in_transit,48
SHP-00175,Manila,Vancouver,467.72,33539.28,2024-09-17,Global Freight,delivered,20
SHP-00176,Seoul,Busan,1708.99,38319.5,2024-04-08,Asia Cargo,customs_hold,10
SHP-00177,Tokyo,Barcelona,4222.22,5101.98,2024-10-03,Pacific Express,in_transit,50
SHP-00178,Kuala Lumpur,Jakarta,2986.43,7754.93,2024-04-02,Asia Cargo,in_transit,3
SHP-00179,Hong Kong,Gdansk,3381.98,11914.63,2024-08-15,Global Freight,in_transit,29
SHP-00180,Mumbai,Santos,1196.22,48281.55,2024-08-28,Asia Cargo,delivered,37
SHP-00181,Taipei,New York,3847.31,38917.3,2024-09-14,Orient Lines,customs_hold,13
SHP-00182,Shenzhen,Seattle,692.42,12537.66,2024-11-24,Orient Lines,delayed,36
SHP-00183,Busan,Hong Kong,3557.15,25819.67,2024-03-04,Global Freight,delivered,11
SHP-00184,Singapore,Valencia,4526.58,7410.07,2024-08-11,Pacific Express,customs_hold,15
SHP-00185,Osaka,Valencia,4423.21,46527.07,2024-07-31,Pacific Express,delivered,24
SHP-00186,Mumbai,Gothenburg,4972.63,18776.89,2024-01-15,Global Freight,customs_hold,46
SHP-00187,Manila,Piraeus,3957.01,6923.1,2024-05-26,Orient Lines,in_transit,9
SHP-00188,Shenzhen,Los Angeles,2243.28,312.3,2024-02-10,Pacific Express,delivered,10
SHP-00189,Jakarta,Seattle,2639.09,5603.78,2024-05-27,Asia Cargo,delivered,4
SHP-00190,Mumbai,Dublin,3194.94,31159.39,2024-02-02,Pacific Express,delayed,32
SHP-00191,Kuala Lumpur,Santos,82.67,25793.02,2024-05-03,Asia Cargo,delivered,1
SHP-00192,Kuala Lumpur,Istanbul,1203.2,20857.55,2024-12-06,Pacific Express,delivered,24
SHP-00193,Tokyo,Vancouver,2720.64,39331.3,2024-09-16,Pacific Express,delivered,31
SHP-00194,Shanghai,Callao,1934.71,18696.45,2024-01-09,Global Freight,in_transit,23
SHP-00195,Mumbai,Kingston,3141.47,38586.49,2024-06-19,Asia Cargo,delivered,35
SHP-00196,Bangkok,Manzanillo,875.86,38968.17,2024-08-25,Orient Lines,in_transit,9
SHP-00197,Tokyo,New York,185.4,10119.47,2024-04-12,Pacific Express,delivered,20
SHP-00198,Jakarta,Lisbon,4945.62,27174.38,2024-05-09,Pacific Express,in_transit,13
SHP-00199,Singapore,Istanbul,4310.76,2437.81,2024-12-01,Global Freight,delivered,24
SHP-00200,Hong Kong,Lisbon,3716.67,44737.14,2024-07-16,Global Freight,customs_hold,32
SHP-00201,Hanoi,Houston,1837.05,39874.68,2024-05-16,Pacific Express,in_transit,6
SHP-00202,Hong Kong,Seattle,4975.49,9063.8,2024-05-30,Global Freight,delivered,21
SHP-00203,Manila,Barcelona,1532.83,30150.95,2024-08-06,Asia Cargo,in_transit,23
SHP-00204,Taipei,Seoul,3634.21,45584.78,2024-11-10,Orient Lines,delivered,4
SHP-00205,Tokyo,Kingston,3187.74,18197.39,2024-12-13,Asia Cargo,customs_hold,10
SHP-00206,Osaka,Seattle,3390.61,21936.73,2024-03-05,Pacific Express,delivered,42
SHP-00207,Bangkok,Gdansk,1914.58,28383.87,2024-11-05,Asia Cargo,in_transit,24
SHP-00208,Bangkok,Valencia,3815.54,28717.39,2024-09-28,Global Freight,delivered,42
SHP-00209,Singapore,Rotterdam,4802.62,1344.37,2024-04-05,Orient Lines,delivered,36
SHP-00210,Tokyo,Hamburg,3874.93,35216.69,2024-04-19,Global Freight,in_transit,32
SHP-00211,Mumbai,Jakarta,679.07,3748.9,2024-03-29,Orient Lines,customs_hold,44
SHP-00212,Osaka,Genoa,3339.37,35491.55,2024-10-08,Global Freight,delayed,11
SHP-00213,Hanoi,Callao,870.87,18106.53,2024-04-24,Pacific Express,customs_hold,9
SHP-00214,Mumbai,Houston,131.91,27723.37,2024-07-07,Orient Lines,delayed,36
SHP-00215,Seoul,Montreal,4421.29,3334.12,2024-07-22,Orient Lines,delivered,50
SHP-00216,Hong Kong,Cartagena,369.22,48620.37,2024-11-24,Pacific Express,delivered,44
SHP-00217,Jakarta,Istanbul,642.11,41461.23,2024-10-09,Asia Cargo,in_transit,9
SHP-00218,Hong Kong,Miami,4553.61,2817.87,2024-03-04,Asia Cargo,delivered,11
SHP-00219,Bangkok,London,1730.44,47048.16,2024-05-25,Pacific Express,delivered,41
SHP-00220,Jakarta,Antwerp,626.29,15176.09,2024-09-30,Pacific Express,delivered,11
SHP-00221,Kuala Lumpur,Savannah,771.39,32953.71,2024-11-05,Global Freight,delayed,37
SHP-00222,Shanghai,Seoul,406.57,47429.92,2024-10-22,Global Freight,in_transit,50
SHP-00223,Kuala Lumpur,Dublin,3090.73,1562.78,2024-11-17,Global Freight,in_transit,20
SHP-00224,Taipei,Rotterdam,4023.54,34265.29,2024-06-01,Orient Lines,delivered,4
SHP-00225,Seoul,Valencia,2078.4,23248.89,2024-06-23,Asia Cargo,delivered,46
SHP-00226,Bangkok,Istanbul,4876.88,6581.77,2024-07-08,Pacific Express,delivered,30
SHP-00227,Tokyo,Antwerp,2248.26,7086.84,2024-01-26,Global Freight,customs_hold,40
SHP-00228,Hong Kong,Rotterdam,4813.45,45120.43,2024-06-16,Global Freight,delivered,11
SHP-00229,Taipei,Miami,2334.34,43959.83,2024-09-11,Pacific Express,delivered,26
SHP-00230,Jakarta,New York,4833.45,10796.46,2024-06-29,Pacific Express,delivered,32
SHP-00231,Kuala Lumpur,Manzanillo,3362.77,14323.13,2024-01-05,Pacific Express,delivered,17
SHP-00232,Hanoi,Gdansk,3819.4,18328.57,2024-07-24,Pacific Express,in_transit,13
SHP-00233,Bangkok,Buenos Aires,1443.36,19348.12,2024-08-18,Global Freight,delayed,40
SHP-00234,Manila,Montreal,594.5,48755.39,2024-07-20,Global Freight,in_transit,22
SHP-00235,Jakarta,Gdansk,3774.95,9992.94,2024-09-17,Orient Lines,delivered,3
SHP-00236,Shanghai,Kuala Lumpur,3568.1,40208.09,2024-09-22,Orient Lines,delivered,33
SHP-00237,Seoul,Genoa,4656.88,15960.58,2024-07-20,Global Freight,in_transit,33
SHP-00238,Osaka,Miami,2661.93,35451.55,2024-06-02,Orient Lines,delayed,24
SHP-00239,Bangkok,Balboa,548.47,20856.19,2024-06-06,Pacific Express,in_transit,17
SHP-00240,Manila,Savannah,2888.38,36083.94,2024-10-25,Orient Lines,delivered,41
SHP-00241,Hanoi,Montreal,3873.14,19040.51,2024-12-14,Asia Cargo,delivered,45
SHP-00242,Tokyo,Osaka,95.18,15718.94,2024-03-18,Orient Lines,in_transit,27
SHP-00243,Jakarta,Montreal,4602.64,43647.24,2024-02-01,Asia Cargo,delivered,36
SHP-00244,Bangkok,Kingston,2392.12,18872.4,2024-03-29,Orient Lines,delayed,22
SHP-00245,Jakarta,Istanbul,3379.5,43389.34,2024-12-14,Global Freight,in_transit,13
SHP-00246,Mumbai,Antwerp,2790.65,11282.11,2024-06-01,Global Freight,in_transit,45
SHP-00247,Hanoi,Houston,1585.55,17472.72,2024-05-20,Global Freight,delivered,44
SHP-00248,Jakarta,Gothenburg,4478.85,19756.9,2024-06-25,Asia Cargo,delivered,19
SHP-00249,Hanoi,Bangkok,1732.14,22146.69,2024-05-11,Orient Lines,delivered,35
SHP-00250,Singapore,Buenos Aires,3481.01,6906.78,2024-11-11,Asia Cargo,delivered,43
SHP-00251,Busan,Vancouver,1128.75,11680.19,2024-02-21,Orient Lines,delivered,31
SHP-00252,Tokyo,Balboa,3853.94,308.81,2024-10-08,Asia Cargo,delivered,31
SHP-00253,Taipei,Manzanillo,997.68,48197.51,2024-06-13,Global Freight,in_transit,50
SHP-00254,Tokyo,Manzanillo,2870.88,26780.86,2024-01-20,Asia Cargo,delivered,12
SHP-00255,Busan,Seoul,4985.86,19879.88,2024-09-10,Asia Cargo,customs_hold,19
SHP-00256,Busan,Seoul,46.83,28419.7,2024-02-24,Global Freight,delivered,42
SHP-00257,Jakarta,Vancouver,2469.82,46931.1,2024-09-15,Orient Lines,delivered,8
SHP-00258,Bangkok,Hanoi,3655.73,32431.85,2024-04-05,Pacific Express,in_transit,19
SHP-00259,Kuala Lumpur,Balboa,3786.54,8815.97,2024-11-23,Orient Lines,delayed,33
SHP-00260,Bangkok,Hong Kong,2004.47,4814.49,2024-03-12,Orient Lines,delivered,16
SHP-00261,Shanghai,Hamburg,1918.18,22364.44,2024-05-16,Global Freight,delivered,47
SHP-00262,Kuala Lumpur,Shanghai,1308.13,18009.63,2024-04-30,Pacific Express,in_transit,30
SHP-00263,Singapore,Hanoi,2027.38,25150.9,2024-12-26,Global Freight,in_transit,41
SHP-00264,Busan,Barcelona,1838.04,11081.42,2024-03-09,Orient Lines,delivered,48
SHP-00265,Kuala Lumpur,Gdansk,2079.52,27484.26,2024-08-29,Asia Cargo,in_transit,44
SHP-00266,Shenzhen,Seattle,4365.74,4139.42,2024-08-16,Global Freight,delivered,37
SHP-00267,Tokyo,Singapore,4143.96,45149.26,2024-04-13,Asia Cargo,delivered,34
SHP-00268,Taipei,Jakarta,3401.64,35860.05,2024-09-07,Pacific Express,delayed,29
SHP-00269,Shenzhen,Mumbai,2267.43,25686.73,2024-08-21,Pacific Express,in_transit,44
SHP-00270,Shenzhen,Marseille,3616.54,19827.64,2024-01-02,Asia Cargo,in_transit,3
SHP-00271,Hong Kong,Istanbul,3502.07,27081.12,2024-01-31,Pacific Express,customs_hold,31
SHP-00272,Shanghai,Barcelona,2044.63,38460.15,2024-11-24,Orient Lines,delivered,25
SHP-00273,Taipei,Gothenburg,1878.54,34152.38,2024-12-04,Asia Cargo,in_transit,23
SHP-00274,Tokyo,Shenzhen,4964.24,19683.28,2024-03-06,Asia Cargo,delayed,49
SHP-00275,Shanghai,Marseille,2315.29,35968.74,2024-08-05,Orient Lines,delayed,16
SHP-00276,Taipei,Istanbul,776.03,9464.6,2024-02-27,Pacific Express,delayed,27
SHP-00277,Kuala Lumpur,Tokyo,1203.71,3411.18,2024-10-31,Pacific Express,delivered,44
SHP-00278,Hanoi,Mumbai,1224.05,2259.62,2024-08-12,Asia Cargo,delivered,49
SHP-00279,Osaka,Mumbai,701.11,49674.5,2024-04-29,Global Freight,in_transit,50
SHP-00280,Manila,Genoa,1184.9,43819.1,2024-12-04,Asia Cargo,delivered,18
SHP-00281,Shanghai,Buenos Aires,4742.63,43991.71,2024-03-30,Orient Lines,in_transit,4
SHP-00282,Bangkok,Manzanillo,3356.88,39300.94,2024-06-12,Orient Lines,delivered,20
SHP-00283,Hong Kong,Shenzhen,3772.2,23702.27,2024-04-25,Global Freight,delayed,10
SHP-00284,Shenzhen,New York,4573.75,28141.18,2024-08-01,Asia Cargo,delivered,17
