product_id,product_name,price,currency,category,seller,last_updated
MP0115,Organic Paper Lampshade,19.87,USD,garden,beta,2024-03-14
MP0116,Vintage Marble Coaster,103.92,gbp,jewellery,gamma,01/03/2024
MP0117,Modern Linen Tablecloth   ,217.73,EUR,accessories,beta,15/03/2024
MP0118,pREMIuM BRASs CaNDlEHoLDeR,226.44,USD,fashion,gamma,2024-03-13
MP0119,Natural  Cork Notebook,94.57,USD,jewellery,beta,2024-03-11
MP0120,Luxury Cotton Scarf,15.68,USD,accessories,gamma,2024-03-09
MP0121,Organic Silk Cushion,49.32,EUR,accessories,gamma,09/03/2024
MP0122,Premium Paper Lampshade,,USD,stationery,alpha,12/03/2024
MP0123,Rustic Jute Rug,194.51,gbp,garden,beta,10/03/2024
MP0124,Luxury Stone Mortar,44.23,EUR,  garden,beta,2024-03-03
MP0125,Classic Wooden Bowl,165.28,USD,home,gamma,03/01/2024
MP0126,Handmade Cork Notebook,33.1,gbp,ACCESSORIES,gamma,03/03/2024
MP0127,classic copper kettle,181.71,GBP,home,gamma,13/03/2024
MP0128,Handmade Glass Vase   ,179.51,gbp,STATIONERY,gamma,03/13/2024
MP0129,mOderN wooDEN BoWl,85.58,GBP,stationery,alpha,06/03/2024
MP0130,Rustic Velvet Pouch,166.03,USD,decor,alpha,14/03/2024
MP0131,  Rustic Ceramic Mug,64.6,USD,accessories,alpha,14/03/2024
MP0132,Luxury Marble Coaster,,gbp,jewellery,beta,2024-03-07
MP0133,Artisan Velvet Pouch,3.3,EUR,DECOR,beta,2024-03-04
MP0134,Bespoke Wool Blanket,114.96,USD,decor,alpha,10/03/2024
MP0135,Luxury Tin Candle,165.84,GBP,kitchen,beta,2024-03-10
MP0136,Classic Cotton Scarf,,usd,garden,beta,2024-03-05
MP0137,Elegant Cotton Scarf,190.12,eur,home,gamma,03/09/2024
MP0138,Modern Marble Coaster,,USD,decor,beta,2024-03-13
MP0139,HANDMADE WICKER BASKET,228.55,usd,decor,beta,01/03/2024
MP0140,Organic Leather Wallet,19.75,USD,,gamma,2024-03-11
MP0141,VINTAGE CERAMIC MUG,173.46,eur,accessories,beta,13/03/2024
MP0142,  Luxury Wicker Basket,238.82,USD,kitchen,beta,2024-03-01
MP0143,Premium Jute Rug,103.5,USD,kitchen,beta,13/03/2024
MP0144,beSpoke velvEt poUCh,,GBP,KITCHEN,beta,2024-03-09
MP0145,handmade leather wallet,63.12,usd,HOME,gamma,08/03/2024
MP0146,organic wooden bowl,136.51,GBP,home,alpha,11/03/2024
MP0147,Premium Oak Cutting Board,178.36,eur,stationery,alpha,10/03/2024
MP0148,Handmade Marble Coaster   ,63.48,GBP,kitchen,beta,2024-03-14
MP0149,BESPOKE PORCELAIN PLATE,87.55,gbp,fashion,gamma,03/15/2024
MP0150,Modern Paper Lampshade,221.18,GBP,home,gamma,2024-03-11
MP0151,Vintage Enamel Pin,205.13,USD,home,beta,2024-03-06
MP0152,handmade glass vase,145.02,EUR,jewellery,alpha,03/03/2024
MP0153,Premium Cork Notebook,135.36,GBP,fashion,gamma,2024-03-11
MP0154,Handmade Canvas Tote,80.05,eur,home,gamma,03/09/2024
MP0155,Premium Wicker Basket,35.27,GBP,FASHION,gamma,03/12/2024
MP0156,Artisan Porcelain Plate,183.4,USD,decor,beta,09/03/2024
MP0157,elegant silver ring,144.8,USD,stationery,alpha,12/03/2024
MP0158,Luxury Iron Bookend,186.41,GBP,,alpha,13/03/2024
MP0159,Artisan Paper Lampshade   ,179.44,GBP,garden,alpha,01/03/2024
MP0160,vintage wool blanket,200.19,GBP,accessories,gamma,03/03/2024
MP0161,Luxury Resin Earrings,134.39,EUR,home,gamma,06/03/2024
MP0162,Elegant Bamboo Tray,66.73,gbp,HOME,gamma,09/03/2024
MP0163,Luxury Resin Earrings   ,113.08,EUR,accessories,gamma,2024-03-11
MP0164,Premium Glass Vase,,eur,HOME,alpha,05/03/2024
MP0165,Natural Wicker Basket   ,146.76,eur,stationery,alpha,02/03/2024
MP0166,Organic Denim Apron,227.83,USD,kitchen,gamma,2024-03-08
MP0167,RUSTIC GLASS VASE,88.62,EUR,garden,alpha,08/03/2024
MP0168,Premium Silver Ring,57.9,EUR,HOME,gamma,03/02/2024
MP0169,vintage clay planter,106.41,EUR,kitchen,beta,10/03/2024
MP0170,Handmade Leather Wallet,45.7,GBP,  fashion,alpha,03/03/2024
MP0171,Luxury Cork Notebook,52.52,USD,STATIONERY,alpha,
MP0172,Luxury  Bamboo Tray,83.3,eur,  fashion,beta,11/03/2024
MP0173,Bespoke Silk Cushion,241.7,EUR,  accessories,beta,2024-03-12
MP0174,modern jute rug,61.01,USD,STATIONERY,gamma,03/03/2024
MP0175,Modern Velvet Pouch,100.38,GBP,stationery,beta,2024-03-15
MP0176,Organic Wool Blanket,239.23,EUR,stationery,beta,2024-03-13
MP0177,Natural Leather Wallet,92.32,GBP,stationery,gamma,2024-03-05
MP0178,Artisan Oak Cutting Board,203.49,eur,home,gamma,2024-03-13
MP0179,Bespoke Bamboo Tray,152.34,usd,kitchen,alpha,01/03/2024
MP0180,vintage tin candle,168.63,EUR,decor,alpha,08/03/2024
MP0181,Classic Velvet Pouch,74.01,USD,kitchen,beta,2024-03-10
MP0182,Handmade Copper Kettle,204.69,GBP,KITCHEN,beta,05/03/2024
MP0183,ARTISAN JUTE RUG,177.93,GBP,fashion,beta,2024-03-01
MP0184,Bespoke Jute Rug,16.06,GBP,decor,alpha,02/03/2024
MP0185,handmade wooden bowl,71.18,GBP,decor,alpha,04/03/2024
MP0186,Modern Tin Candle,105.49,EUR,stationery,beta,2024-03-11
MP0187,Premium Cotton Scarf,73.37,EUR,jewellery,gamma,02/03/2024
MP0188,organic denim apron,119.72,USD,  garden,alpha,13/03/2024
MP0189,Rustic  Cotton Scarf,139.47,USD,accessories,alpha,03/03/2024
MP0190,Rustic Wool Blanket,194.4,USD,decor,alpha,08/03/2024
MP0191,Organic Paper Lampshade   ,6.69,USD,jewellery,gamma,01/03/2024
MP0192,Organic Linen Tablecloth,241.11,USD,  accessories,beta,2024-03-10
MP0193,Rustic Velvet Pouch,99.07,EUR,JEWELLERY,alpha,04/03/2024
MP0194,  Organic Wooden Bowl,184.74,GBP,fashion,alpha,08/03/2024
MP0195,Bespoke Canvas Tote,223.52,USD,fashion,gamma,2024-03-02
MP0196,PREMIUM CANVAS TOTE,8.83,eur,accessories,alpha,14/03/2024
MP0197,Vintage Porcelain Plate,93.09,USD,stationery,alpha,04/03/2024
MP0198,elegant wooden bowl,83.49,EUR,fashion,alpha,08/03/2024
MP0199,Vintage Oak Cutting Board,139.3,usd,accessories,beta,2024-03-15
MP0200,Natural Iron Bookend,87.32,eur,kitchen,alpha,13/03/2024
MP0201,Handmade Glass Vase   ,75.3,usd,,alpha,01/03/2024
MP0202,elegant marble coaster,97.92,eur,garden,alpha,08/03/2024
MP0203,ARTISAN CANVAS TOTE,48.87,EUR,fashion,gamma,14/03/2024
MP0204,  Natural Silver Ring,193.33,GBP,stationery,alpha,09/03/2024
MP0205,PREMIUM GLASS VASE,164.22,GBP,decor,gamma,03/04/2024
MP0206,Modern Bamboo Tray,91.46,USD,decor,gamma,2024-03-14
MP0207,Premium Canvas Tote,,GBP,decor,beta,13/03/2024
MP0208,natural tin candle,52.4,GBP,accessories,beta,2024-03-07
MP0209,Luxury Oak Cutting Board,17.27,EUR,garden,beta,2024-03-03
MP0210,elegant wool blanket,47.69,gbp,stationery,gamma,04/03/2024
MP0211,modern cotton scarf,21.53,EUR,jewellery,gamma,03/02/2024
MP0212,Organic Wicker Basket,94.87,eur,fashion,gamma,04/03/2024
MP0213,NaturAL cErAmIc MuG,,gbp,accessories,alpha,15/03/2024
MP0214,Artisan Silver Ring,116.33,eur,fashion,alpha,14/03/2024
MP0215,ARTISAN CLAY PLANTER,57.91,GBP,stationery,alpha,03/03/2024
MP0216,Classic Cotton Scarf,57.09,gbp,kitchen,beta,2024-03-03
MP0217,  Rustic Brass Candleholder,14.8,GBP,home,beta,2024-03-08
MP0218,  Elegant Enamel Pin,,EUR,fashion,beta,2024-03-01
MP0219,Handmade Bamboo Tray,248.45,GBP,home,gamma,03/12/2024
MP0220,haNdMAdE SilVer ring,164.04,usd,jewellery,gamma,03/15/2024
MP0221,bESPOke leAther wALLeT,197.8,eur,accessories,beta,2024-03-13
MP0222,natural wicker basket,16.94,USD,decor,alpha,08/03/2024
MP0223,HandmADE pOrcElaIn PLatE,38.04,GBP,stationery,alpha,01/03/2024
MP0224,Premium Oak Cutting Board,69.81,gbp,kitchen,gamma,03/04/2024
MP0225,luxury tin candle,146.73,EUR,fashion,gamma,2024-03-14
MP0226,Modern Wicker Basket,95.47,eur,kitchen,gamma,03/04/2024
MP0227,elegant paper lampshade,47.54,GBP,fashion,alpha,07/03/2024
MP0228,ARtiSan TIn cANDLE,136.75,usd,stationery,beta,13/03/2024
MP0229,Bespoke Stone Mortar,92.52,gbp,jewellery,gamma,07/03/2024
MP0230,VINtAge Clay plAnTer,,GBP,stationery,alpha,03/03/2024
MP0231,Handmade Stone Mortar,50.97,EUR,garden,alpha,12/03/2024
MP0232,Artisan Brass Candleholder,52.6,USD,kitchen,alpha,02/03/2024
MP0233,Rustic Ceramic Mug,38.46,EUR,home,alpha,15/03/2024
MP0234,rustic jute rug,72.5,USD,JEWELLERY,alpha,08/03/2024
MP0235,Bespoke Glass Vase,169.3,gbp,decor,gamma,03/15/2024
MP0236,Premium Glass Vase,179.71,GBP,jewellery,alpha,15/03/2024
MP0237,Rustic Canvas Tote,237.9,GBP,stationery,beta,10/03/2024
MP0238,RUSTIC PAPER LAMPSHADE,83.97,usd,accessories,alpha,14/03/2024
MP0239,LUXURY SILVER RING,44.67,USD,decor,beta,2024-03-02
MP0240,CLaSsic PaPeR lamPshADe,218.98,usd,garden,alpha,07/03/2024
MP0241,Handmade Stone Mortar,120.81,EUR,  fashion,beta,2024-03-14
MP0242,Elegant Canvas Tote   ,55.43,GBP,stationery,beta,2024-03-14
MP0243,Rustic Jute Rug,170.82,GBP,decor,alpha,06/03/2024
MP0244,Elegant Cork Notebook,,GBP,kitchen,alpha,10/03/2024
MP0245,Luxury Marble Coaster,,GBP,home,beta,2024-03-13
MP0246,Artisan Marble Coaster   ,,USD,decor,gamma,03/08/2024
MP0247,Vintage Clay Planter,48.21,USD,,gamma,11/03/2024
MP0248,Elegant Enamel Pin,84.29,USD,jewellery,alpha,07/03/2024
MP0249,Organic Denim Apron,155.63,USD,,beta,2024-03-13
MP0250,premium stone mortar,207.62,EUR,home,beta,2024-03-13
MP0251,Modern Ceramic Mug,53.87,GBP,accessories,gamma,03/15/2024
MP0252,Organic Tin Candle,210.31,EUR,kitchen,beta,12/03/2024
MP0253,Modern  Wooden Bowl,228.86,GBP,stationery,beta,2024-03-03
MP0254,Natural Clay Planter,167.22,EUR,decor,gamma,03/10/2024
MP0255,RUSTIC MARBLE COASTER,96.95,USD,accessories,beta,04/03/2024
MP0256,Premium Brass Candleholder,129.62,eur,decor,gamma,03/11/2024
MP0257,Modern Canvas Tote,4.38,GBP,fashion,beta,2024-03-15
MP0258,Handmade Cotton Scarf,213.18,USD,accessories,beta,13/03/2024
MP0259,Rustic Enamel Pin   ,113.23,GBP,DECOR,alpha,09/03/2024
MP0260,Rustic Glass Vase,151.36,GBP,kitchen,beta,2024-03-14
MP0261,Modern Glass Vase,165.96,usd,kitchen,beta,02/03/2024
MP0262,Vintage Cork Notebook,223.9,EUR,kitchen,alpha,01/03/2024
MP0263,VINTAGE MARBLE COASTER,190.08,USD,stationery,beta,05/03/2024
MP0264,Organic Enamel Pin   ,249.58,EUR,  HOME,gamma,03/05/2024
MP0265,Classic Linen Tablecloth,7.59,EUR,kitchen,alpha,01/03/2024
MP0266,Luxury Leather Wallet   ,96.05,EUR,home,alpha,07/03/2024
MP0267,ClASSIC copPER kETTle,234.95,GBP,stationery,alpha,04/03/2024
MP0268,Natural Canvas Tote,147.57,USD,jewellery,beta,2024-03-15
MP0269,Premium Silver Ring,98.58,USD,stationery,beta,2024-03-07
MP0270,rUSTIC SILveR RIng,153.9,usd,STATIONERY,beta,09/03/2024
MP0271,Natural Resin Earrings   ,,USD,decor,alpha,03/03/2024
MP0272,Handmade Enamel Pin,175.5,GBP,kitchen,alpha,13/03/2024
MP0273,Premium Cork Notebook,20.47,eur,ACCESSORIES,gamma,08/03/2024
MP0274,Handmade Stone Mortar,110.39,usd,stationery,gamma,12/03/2024
MP0275,BESPOKE GLASS VASE,48.11,usd,DECOR,beta,2024-03-07
MP0276,natural porcelain plate,,USD,home,beta,09/03/2024
MP0277,Bespoke  Ceramic Mug,103.9,EUR,stationery,alpha,13/03/2024
MP0278,Handmade Silk Cushion   ,235.03,EUR,fashion,alpha,02/03/2024
MP0279,VINTAGE CERAMIC MUG,124.08,gbp,KITCHEN,beta,01/03/2024
MP0280,Handmade Glass Vase,208.83,EUR,decor,beta,01/03/2024
MP0281,Premium Wool Blanket,73.79,GBP,  fashion,gamma,2024-03-09
MP0282,Handmade Denim Apron,105.14,EUR,accessories,gamma,03/09/2024
MP0283,Bespoke Silver Ring,149.49,EUR,fashion,beta,2024-03-01
MP0284,Classic Copper Kettle,22.53,EUR,jewellery,beta,2024-03-12
MP0285,VINTAGE PORCELAIN PLATE,,EUR,  HOME,alpha,15/03/2024
MP0286,Vintage Clay Planter   ,7.54,gbp,kitchen,alpha,11/03/2024
MP0287,LUXURY CORK NOTEBOOK,129.89,USD,stationery,gamma,12/03/2024
MP0288,Classic Silver Ring,86.47,GBP,fashion,alpha,14/03/2024
MP0289,Handmade Linen Tablecloth,118.7,eur,home,alpha,13/03/2024
MP0290,Natural Clay Planter,242.3,USD,home,gamma,2024-03-12
MP0291,pREMiuM JuTe rUg,248.57,USD,KITCHEN,beta,11/03/2024
MP0292,Premium Iron Bookend,239.77,GBP,kitchen,alpha,08/03/2024
MP0293,Natural Oak Cutting Board,145.42,GBP,garden,alpha,14/03/2024
MP0294,hAnDmaDE COpPer kEttLE,162.8,GBP,fashion,gamma,02/03/2024
MP0295,Organic Leather Wallet,61.6,GBP,  kitchen,beta,06/03/2024
MP0296,Natural Marble Coaster,,EUR,  kitchen,gamma,2024-03-12
MP0297,Modern Silk Cushion,66.67,eur,KITCHEN,gamma,10/03/2024
MP0298,VINTAGE CLAY PLANTER,141.58,USD,stationery,alpha,05/03/2024
MP0299,Rustic Silver Ring,150.49,usd,kitchen,alpha,06/03/2024
MP0300,Vintage Paper Lampshade,37.47,USD,  STATIONERY,beta,2024-03-14
MP0301,  Organic Linen Tablecloth,248.59,usd,JEWELLERY,alpha,11/03/2024
MP0302,Vintage Bamboo Tray,26.19,GBP,home,alpha,06/03/2024
MP0303,Classic  Silk Cushion,68.54,GBP,fashion,alpha,11/03/2024
MP0304,Handmade Oak Cutting Board,33.41,EUR,stationery,beta,2024-03-14
MP0305,VInTAgE cLAY PLanTEr,48.85,GBP,jewellery,alpha,14/03/2024
MP0306,BespOke gLAsS vaSE,178.15,gbp,  jewellery,alpha,11/03/2024
MP0307,Vintage Bamboo Tray,59.3,USD,fashion,beta,2024-03-08
MP0308,Handmade Paper Lampshade,84.86,usd,accessories,beta,2024-03-03
MP0309,Natural Denim Apron,20.15,USD,  decor,beta,13/03/2024
MP0310,Rustic Enamel Pin,40.19,USD,garden,alpha,02/03/2024
MP0311,Rustic Porcelain Plate,,GBP,GARDEN,alpha,04/03/2024
MP0312,  Elegant Paper Lampshade,158.65,EUR,home,beta,12/03/2024
MP0313,Rustic Iron Bookend,93.61,USD,stationery,gamma,
MP0314,Handmade Brass Candleholder,50.15,USD,jewellery,beta,2024-03-15
MP0315,Natural Marble Coaster   ,149.97,gbp,accessories,gamma,03/12/2024
MP0316,Luxury Wool Blanket,150.74,EUR,fashion,beta,2024-03-01
MP0317,Premium Wicker Basket,166.47,USD,stationery,alpha,03/03/2024
MP0318,vintage glass vase,180.49,USD,accessories,beta,
MP0319,lUXUry WOOdEN boWl,212.27,USD,kitchen,beta,2024-03-09
MP0320,Premium Wooden Bowl,15.22,EUR,decor,gamma,2024-03-06
MP0321,PREMIUM PORCELAIN PLATE,170.82,USD,stationery,gamma,03/13/2024
MP0322,Handmade Jute Rug,229.83,USD,decor,gamma,2024-03-01
MP0323,Handmade Cotton Scarf,91.01,usd,garden,beta,2024-03-06
MP0324,  Classic Iron Bookend,247.83,USD,fashion,alpha,01/03/2024
MP0325,elegant jute rug,171.77,usd,accessories,beta,02/03/2024
MP0326,Elegant Stone Mortar,233.44,GBP,kitchen,alpha,09/03/2024
MP0327,  Artisan Resin Earrings,119.08,GBP,accessories,beta,04/03/2024
MP0328,Artisan Canvas Tote,18.01,GBP,jewellery,gamma,09/03/2024
MP0329,Vintage Linen Tablecloth   ,145.86,GBP,accessories,beta,2024-03-14
MP0330,Premium Oak Cutting Board,140.14,EUR,decor,gamma,01/03/2024
MP0331,Rustic Tin Candle,76.89,USD,home,gamma,2024-03-04
MP0332,Bespoke Tin Candle,37.67,GBP,home,beta,2024-03-03
MP0333,Vintage Copper Kettle,151.31,USD,jewellery,alpha,08/03/2024
MP0334,Luxury Marble Coaster,119.38,USD,stationery,alpha,11/03/2024
MP0335,Bespoke Canvas Tote,52.76,USD,kitchen,gamma,03/09/2024
MP0336,natural bamboo tray,162.74,gbp,kitchen,gamma,2024-03-11
MP0337,Organic Marble Coaster,121.7,USD,DECOR,alpha,12/03/2024
MP0338,bespoke velvet pouch,25.79,USD,accessories,beta,13/03/2024
MP0339,Premium Bamboo Tray,149.65,GBP,stationery,beta,12/03/2024
MP0340,Natural Ceramic Mug,221.32,gbp,garden,alpha,12/03/2024
MP0341,Luxury Clay Planter,113.66,USD,fashion,gamma,03/06/2024
MP0342,CLASSic Oak cUtTINg boArD,215.73,GBP,garden,gamma,03/07/2024
MP0343,Natural Ceramic Mug,85.43,EUR,accessories,gamma,2024-03-09
MP0344,Organic Resin Earrings,,EUR,home,gamma,03/01/2024
MP0345,Organic Stone Mortar,98.74,gbp,decor,gamma,03/15/2024
MP0346,Handmade Brass Candleholder,13.93,EUR,jewellery,gamma,03/13/2024
MP0347,LUXURY MARBLE COASTER,123.25,gbp,accessories,gamma,03/15/2024
MP0348,Bespoke Jute Rug,111.67,GBP,jewellery,beta,2024-03-10
MP0349,PREMIUM WOOL BLANKET,93.81,USD,decor,alpha,05/03/2024
MP0350,Organic Brass Candleholder,198.94,GBP,decor,alpha,06/03/2024
MP0351,VINTAGE CORK NOTEBOOK,160.8,EUR,garden,alpha,04/03/2024
MP0352,Rustic Canvas Tote   ,104.77,EUR,FASHION,alpha,14/03/2024
MP0353,Handmade  Wooden Bowl,234.6,usd,garden,gamma,03/04/2024
MP0354,Luxury Silver Ring,176.72,USD,garden,gamma,03/13/2024
